url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/florence/dining/,fine dining florence,,IT,en,mobile
https://www.fourseasons.com/florence/dining/restaurants/brunch/,Brunch in Florence,,IT,en,mobile
https://www.fourseasons.com/florence/dining/restaurants/il_palagio/,Michelin-Starred Restaurant Florence,tasting menu florence,IT,en,mobile
https://www.fourseasons.com/florence/experiences/,Private tours in Florence,,IT,en,mobile
https://www.fourseasons.com/florence/offers/,florence hotel offers,,IT,en,mobile
https://www.fourseasons.com/florence/photos-and-videos/,florence hotel photos,,IT,en,mobile
https://www.fourseasons.com/florence/seasonal/christmas/,christmas in florence,"christmas dinner florence, christmas lunch florence, christmas eve dinner florence",IT,en,mobile
https://www.fourseasons.com/florence/seasonal/new-year/,new years eve in florence,"new years eve dinner florence, new years eve party florence",IT,en,mobile
https://www.fourseasons.com/florence/services-and-amenities/couples/,romantic hotel florence,romantic getaway in florence,IT,en,mobile
https://www.fourseasons.com/florence/services-and-amenities/family/,family friendly hotels florence|florence family hotels,"family hotel florence,kid friendly hotel",IT,en,mobile
https://www.fourseasons.com/florence/services-and-amenities/pool/,florence hotel pool,florence hotel with pool,IT,en,mobile
https://www.fourseasons.com/florence/spa/,florence spa,,IT,en,mobile
https://www.fourseasons.com/florence/spa/couples-massage/,couples massage florence,,IT,en,mobile
https://www.fourseasons.com/florence/weddings/,florence weddings,tuscany wedding,IT,en,mobile
https://www.fourseasons.com/florence/weddings/honeymoon/,florence honeymoon,"tuscany honeymoon,florence honeymoon package,florence honeymoon hotel",IT,en,mobile
https://www.fourseasons.com/fortlauderdale/,fort lauderdale luxury hotel,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/accommodations/,hotel suites fort lauderdale,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/dining/,fine dining fort lauderdale,fort lauderdale beach restaurants,US,en,mobile
https://www.fourseasons.com/fortlauderdale/experiences/,fort lauderdale experiences,fort lauderdale activities,US,en,mobile
https://www.fourseasons.com/fortlauderdale/family/,fort lauderdale family activities,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/hotel-near-cruise-port-everglades/,hotel near port everglades cruise port,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/offers/,fort lauderdale hotel packages,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/photos-and-videos/,four seasons fort lauderdale photos & videos,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/seasonal/new-year/,fort lauderdale new year's eve,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/seasonal/spring-break/,fort lauderdale spring break,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/seasonal/valentines-day/,valentine's day in fort lauderdale,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/spa/,fort lauderdale spa,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/villa-residence-rentals/,luxury vacation rentals fort lauderdale,,US,en,mobile
https://www.fourseasons.com/fortlauderdale/weddings/,fort lauderdale wedding,,US,en,mobile
https://www.fourseasons.com/geneva/,5-star hotels in geneva | geneva luxury hotels,lake geneva luxury hotels,CH,en,mobile
https://www.fourseasons.com/geneva/accommodations/,luxury suites geneva | geneva hotel suites,lake geneva hotel suites,CH,en,mobile
https://www.fourseasons.com/geneva/dining/,geneva restaurants | fine dining geneva,lake geneva restaurants,CH,en,mobile
https://www.fourseasons.com/geneva/dining/restaurants/il_lago/,italian restaurant geneva | michelin-starred restaurant geneva,michelin star restaurants geneva,CH,en,mobile
https://www.fourseasons.com/geneva/dining/restaurants/izumi/,japanese restaurant geneva | rooftop bar geneva,,CH,en,mobile
https://www.fourseasons.com/geneva/experiences/,experiences in geneva | geneva experiences,,CH,en,mobile
https://www.fourseasons.com/geneva/offers/,geneva hotel offers | hotel offers geneva,,CH,en,mobile
https://www.fourseasons.com/geneva/photos-and-videos/,geneva hotel photos,,CH,en,mobile
https://www.fourseasons.com/geneva/seasonal/christmas/,christmas in geneva | christmas geneva,,CH,en,mobile
https://www.fourseasons.com/geneva/spa/,spa geneva,,CH,en,mobile
https://www.fourseasons.com/geneva/weddings/,wedding geneva,,CH,en,mobile
https://www.fourseasons.com/geneva/weddings/honeymoon/,geneva honeymoon,,CH,en,mobile
https://www.fourseasons.com/geneva/weddings/venues/,geneva wedding venues,,CH,en,mobile
https://www.fourseasons.com/goldentriangle/,​ glamping thailand​ | chiang rai resorts thailand​,"golden triangle glamping​ | elephant tented camp thailand​ | luxury camping thailand​ | luxury camping chiang mai​ |
golden triangle resort",TH,en,mobile
https://www.fourseasons.com/goldentriangle/accommodations/,chiang rai accommodation​ | luxury tents thailand​,,TH,en,mobile
https://www.fourseasons.com/goldentriangle/dining/,fine dining chiang rai​ | chiang rai restaurant​,fine dining restaurants golden triangle​,TH,en,mobile
https://www.fourseasons.com/goldentriangle/experiences/,,,TH,en,mobile
https://www.fourseasons.com/goldentriangle/offers/,,,TH,en,mobile
https://www.fourseasons.com/goldentriangle/photos-and-videos/,,,TH,en,mobile
https://www.fourseasons.com/goldentriangle/spa/,chiang rai resort spa​ | triangle spa​,chiang rai thai massage​ | golden triangle massage​,TH,en,mobile
https://www.fourseasons.com/goldentriangle/weddings/,,,TH,en,mobile
https://www.fourseasons.com/guangzhou/,"guangzhou luxury hotel
guangzhou hotel","hotels in guangzhou china
hotels in guangzhou

5-star hotel guangzhou china",CN,en,mobile
https://www.fourseasons.com/guangzhou/accommodations/,guangzhou hotel rooms,guangzhou hotel suites,CN,en,mobile
https://www.fourseasons.com/guangzhou/dining/,guangzhou restaurants,guangzhou fine dining,CN,en,mobile
https://www.fourseasons.com/guangzhou/experiences/,guangzhou experiences,things to do in guangzhou,CN,en,mobile
https://www.fourseasons.com/guangzhou/offers/,guangzhou hotel offers,,CN,en,mobile
https://www.fourseasons.com/guangzhou/spa/,guangzhou spa,guangzhou luxury spa,CN,en,mobile
https://www.fourseasons.com/guangzhou/weddings/,guangzhou wedding,,CN,en,mobile
https://www.fourseasons.com/hampshire/,5 star hotel hampshire,luxury hotels hampshire​,GB,en,mobile
